identifier,parentIdentifier,description,type,show
110,,"Income from Loans",REVENUE,true
111,110,"Interest on Loans",REVENUE,true
111.1,111,"Interest on Business Loans",REVENUE,true
111.2,111,"Interest on Agriculture Loans",REVENUE,true
111.3,111,"Interest on Consumer Loans",REVENUE,true
111.4,111,"Interest on Savings Secured/Insured Loans",REVENUE,true
111.5,111,"Interest on Other Member Loans",REVENUE,true
111.6,111,"Interest on Home Equity Loans",REVENUE,true
112,110,"Interest on Lines of Credit",REVENUE,true
112.1,112,"Interest on Other Lines of Credit",REVENUE,true
112.2,112,"Interest on Credit Cards",REVENUE,true
113,110,"Income from Loans of Liquidating Credit Unions",REVENUE,true
114,110,"Interest on Real Estate Loans",REVENUE,true
114.1,114,"Interest on Real Estate Loans Over 12 Years",REVENUE,true
114.2,114,"Interest on Real Estate Loans 12 Years and Under",REVENUE,true
115,110,"Interest on Loans and Other Obligations Purchased (100%)",REVENUE,true
116,110,"Interest on Loan Participations Purchased",REVENUE,true
117,110,"Service Income on Loans Sold and Participations",REVENUE,true
118,110,"Interest on Other Miscellaneous Nonmember Loans",REVENUE,true
119,110,"Interest Refunds",REVENUE,true
120,,"Investment Income",REVENUE,true
121,120,"Income from Government Investments",REVENUE,true
122,120,"Income from Govenment Agency Securities",REVENUE,true
123,120,"Income from Investment in Insurance funds",REVENUE,true
124,120,"Interest on Trading Securities",REVENUE,true
125,120,"Income from Common Trust Investments",REVENUE,true
126,120,"Income from Savings/Deposits/Certificates of Banks",REVENUE,true
127,120,"Income from Savings/Deposits/Certificates of Other Credit Unions",REVENUE,true
128,120,"Income from Other Savings/Deposits/Certificates",REVENUE,true
128.1,128,"Income from Investments in Credit Union Service Corporations (CUSO)",REVENUE,true
129,120,"Income from Other Investments",REVENUE,true
130,,"Fees and Charges",REVENUE,true
131,130,"Other Fees and Charges",REVENUE,true
132,130,"Loan Origination Fees",REVENUE,true
140,,"Gain (Loss) on Sale of Loans and Other Eligible Obligations",REVENUE,true
141,140,"Gain (Loss) on Sale of Eligible Obligations",REVENUE,true
150,,"Miscellaneous Operating Income",REVENUE,true
151,150,"Gain (Loss) on Sale of Eligible Obligations",REVENUE,true
152,150,"Credit Card Interchange Income",REVENUE,true
160,,"Service Income on Loans and Other Obligations",REVENUE,true
161,160,"Service Income on Loans and Other Obligations",REVENUE,true
162,160,"Service Income on Credit Card Loans",REVENUE,true
163,160,"Service Income—Net Commitment Fees",REVENUE,true
170,,"Trading Profits and Losses",EXPENSE,true
200,,"Operating Expenses (Control)",EXPENSE,true
210,200,"Compensation",EXPENSE,true
211,210,"Salaries",EXPENSE,true
212,210,"Reimbursement to Sponsor for Services",EXPENSE,true
219,210,"Other Compensation",EXPENSE,true
220,,"Employee Benefits",EXPENSE,true
221,220,"Pension Plan Costs",EXPENSE,true
222,220,"Social Security Taxes (Employer's Share)",EXPENSE,true
223,220,"Unemployment Compensation Taxes",EXPENSE,true
224,220,"Other Employee Benefits",EXPENSE,true
230,,"Travel and Conference Expenses",EXPENSE,true
231,230,"Employees' Travel and Conference Expenses",EXPENSE,true
232,230,"Officers' and Directors' Travel and Conference Expenses",EXPENSE,true
239,230,"Other Travel Expenses",EXPENSE,true
240,,"Association Dues",EXPENSE,true
250,,"Office Occupancy Expenses",EXPENSE,true
251,250,"Rent",EXPENSE,true
252,250,"Maintenance of Buildings",EXPENSE,true
253,250,"Utilities",EXPENSE,true
254,250,"Depreciation of Buildings",EXPENSE,true
255,250,"Amortization of Leasehold Improvements",EXPENSE,true
256,250,"Real Estate Taxes",EXPENSE,true
257,250,"Depreciation Expense—Leased",EXPENSE,true
259,250,"Other Office Occupancy Expenses",EXPENSE,true
260,,"Office Operations Expenses",EXPENSE,true
261,260,"Communications",EXPENSE,true
262,260,"Rental of Furniture and Equipment",EXPENSE,true
263,260,"Maintenance of Furniture and Equipment",EXPENSE,true
264,260,"Stationery and Supplies",EXPENSE,true
265,260,"Insurance",EXPENSE,true
266,260,"Depreciation of Furniture and Equipment",EXPENSE,true
268,260,"Bank Service Charges",EXPENSE,true
269,260,"Other Office Operations Expenses",EXPENSE,true
270,,"Educational and Promotional Expenses",EXPENSE,true
271,270,"Advertising",EXPENSE,true
272,270,"Publicity and Promotions",EXPENSE,true
279,270,"Other Educational and Promotional Expenses",EXPENSE,true
280,,"Loan Servicing Expenses",EXPENSE,true
282,280,"Collection Expenses",EXPENSE,true
283,280,"Recording Fees—Chattel Lien Insurance",EXPENSE,true
284,280,"Credit Reports",EXPENSE,true
285,280,"Refunds—Real Estate Service Charges",EXPENSE,true
286,280,"Credit Card Program Expenses",EXPENSE,true
